Gene,albidoflavus_UYFA156,Sign
gvpA_2,OKGGMJON_04532,+
group_7589,OKGGMJON_01601,+
ugpQ_1,OKGGMJON_01311,+
gpmA_3,OKGGMJON_02727,-
group_7591,OKGGMJON_01872,+
group_7592,OKGGMJON_05789,-
group_7593,OKGGMJON_04683,-
group_7594,OKGGMJON_06064,+
leuD,OKGGMJON_01384,-
group_7596,OKGGMJON_04027,-
group_7597,OKGGMJON_00455,+
kmtR,OKGGMJON_03469,+
dap_1,OKGGMJON_01313,+
cdsA,OKGGMJON_01325,-
group_762,OKGGMJON_01348,+
ftsH_2,OKGGMJON_01350,-
glnD,OKGGMJON_01352,-
group_766,OKGGMJON_01370,-
thiD,OKGGMJON_01373,-
group_769,OKGGMJON_01397,-
drrA_2,OKGGMJON_02654,+
group_770,OKGGMJON_01408,-
group_771,OKGGMJON_01410,-
group_772,OKGGMJON_01413,-
group_773,OKGGMJON_01416,+
group_774,OKGGMJON_01420,-
group_775,OKGGMJON_01421,+
tipA_1,OKGGMJON_01422,-
group_777,OKGGMJON_01424,+
group_778,OKGGMJON_01425,-
leuB_2,OKGGMJON_01437,-
group_781,OKGGMJON_01447,+
betI_3,OKGGMJON_01448,+
group_783,OKGGMJON_01459,+
gatC,OKGGMJON_01469,-
kdpC_2,OKGGMJON_01502,+
kdpD_3,OKGGMJON_01504,+
ldtB_1,OKGGMJON_01518,-
ylmA_1,OKGGMJON_01535,+
group_793,OKGGMJON_01536,+
azoB_1,OKGGMJON_01537,-
group_795,OKGGMJON_01538,+
dcuS_1,OKGGMJON_01540,+
group_797,OKGGMJON_01558,-
group_798,OKGGMJON_01568,+
group_799,OKGGMJON_01585,-
group_8,OKGGMJON_03509,+
group_80,OKGGMJON_03505,-
group_800,OKGGMJON_01598,-
group_801,OKGGMJON_01602,-
group_802,OKGGMJON_01649,+
group_803,OKGGMJON_01651,+
group_804,OKGGMJON_01670,+
group_805,OKGGMJON_01677,-
group_807,OKGGMJON_01690,+
group_808,OKGGMJON_01691,-
hmp_1,OKGGMJON_01711,+
group_81,OKGGMJON_03451,-
group_810,OKGGMJON_01713,+
group_812,OKGGMJON_01760,+
group_813,OKGGMJON_01765,+
group_814,OKGGMJON_01772,+
group_816,OKGGMJON_01778,-
group_817,OKGGMJON_01787,-
group_818,OKGGMJON_01791,+
group_819,OKGGMJON_01794,+
menH_2,OKGGMJON_01797,+
group_821,OKGGMJON_01805,+
group_822,OKGGMJON_01819,-
group_823,OKGGMJON_01829,+
lacZ_2,OKGGMJON_01840,+
group_825,OKGGMJON_01842,-
typA,OKGGMJON_01858,-
group_828,OKGGMJON_01868,-
budC,OKGGMJON_01879,+
group_830,OKGGMJON_01897,-
cenA_2,OKGGMJON_01901,-
group_832,OKGGMJON_01905,-
cdhR_2,OKGGMJON_01915,-
group_836,OKGGMJON_01930,-
group_837,OKGGMJON_01935,-
group_838,OKGGMJON_01949,+
group_839,OKGGMJON_01951,-
group_84,OKGGMJON_02749,+
lapB,OKGGMJON_01954,+
group_841,OKGGMJON_01964,+
group_842,OKGGMJON_01969,-
group_843,OKGGMJON_01973,+
pcm_1,OKGGMJON_01976,+
group_845,OKGGMJON_01981,-
group_846,OKGGMJON_03618,+
group_847,OKGGMJON_02022,-
ftsI,OKGGMJON_04908,+
group_850,OKGGMJON_02049,+
group_851,OKGGMJON_02054,-
group_853,OKGGMJON_02055,+
algC,OKGGMJON_02063,-
mshD_1,OKGGMJON_02064,+
fbiB,OKGGMJON_02073,+
tagU_3,OKGGMJON_02081,+
group_858,OKGGMJON_02094,+
group_859,OKGGMJON_02096,-
dtpT_1,OKGGMJON_02117,+
dadD,OKGGMJON_02124,-
group_862,OKGGMJON_02137,-
cbs,OKGGMJON_02143,-
group_865,OKGGMJON_02162,+
group_866,OKGGMJON_02180,-
garR_2,OKGGMJON_02181,+
group_868,OKGGMJON_02185,-
group_869,OKGGMJON_02186,-
pepN_3,OKGGMJON_04984,+
aam_2,OKGGMJON_02191,-
group_873,OKGGMJON_02201,-
group_874,OKGGMJON_02202,-
group_875,OKGGMJON_02203,-
bmr3_2,OKGGMJON_02208,+
group_877,OKGGMJON_02209,-
group_878,OKGGMJON_02245,-
group_879,OKGGMJON_02260,-
pmt,OKGGMJON_02262,+
group_881,OKGGMJON_02264,-
mrdA_2,OKGGMJON_02266,+
group_883,OKGGMJON_02268,-
group_884,OKGGMJON_02272,-
mtnP,OKGGMJON_02305,+
group_888,OKGGMJON_02308,-
bar,OKGGMJON_02313,+
group_89,OKGGMJON_05590,-
group_890,OKGGMJON_02319,+
mmgB_2,OKGGMJON_02329,+
group_892,OKGGMJON_02333,+
paaE_1,OKGGMJON_02335,+
group_895,OKGGMJON_02340,+
group_896,OKGGMJON_02341,-
group_898,OKGGMJON_02361,-
group_899,OKGGMJON_02363,+
fadA_2,OKGGMJON_06033,+
group_900,OKGGMJON_02368,-
group_901,OKGGMJON_02373,-
group_902,OKGGMJON_02375,+
group_903,OKGGMJON_02385,+
nudC_2,OKGGMJON_02403,-
group_905,OKGGMJON_02409,+
group_906,OKGGMJON_02419,+
paaF_1,OKGGMJON_02447,-
group_908,OKGGMJON_02450,-
group_910,OKGGMJON_02452,-
group_911,OKGGMJON_02456,-
group_912,OKGGMJON_02476,+
group_913,OKGGMJON_02477,+
adeQ,OKGGMJON_02498,-
group_916,OKGGMJON_02499,+
ctpE,OKGGMJON_02500,+
ncsB3_4,OKGGMJON_02503,+
group_920,OKGGMJON_02538,-
group_921,OKGGMJON_02540,+
mshD_2,OKGGMJON_02541,+
gshA_1,OKGGMJON_02546,+
group_926,OKGGMJON_02552,+
group_927,OKGGMJON_02565,+
group_928,OKGGMJON_02566,-
group_929,OKGGMJON_02568,+
rimJ_4,OKGGMJON_05638,-
group_930,OKGGMJON_02570,+
murQ,OKGGMJON_02572,+
pdxI_2,OKGGMJON_02574,+
cetB,OKGGMJON_02575,+
rimJ_3,OKGGMJON_02576,+
gpgS,OKGGMJON_02585,+
otsB,OKGGMJON_02587,-
group_937,OKGGMJON_02600,-
glmS_1,OKGGMJON_02601,+
group_939,OKGGMJON_02603,-
group_940,OKGGMJON_02610,-
group_941,OKGGMJON_02624,+
group_942,OKGGMJON_02637,-
group_943,OKGGMJON_02638,+
group_944,OKGGMJON_02642,-
group_945,OKGGMJON_02644,-
group_946,OKGGMJON_02648,+
group_947,OKGGMJON_02650,-
group_948,OKGGMJON_02652,+
group_949,OKGGMJON_02659,+
mtrA_2,OKGGMJON_02668,-
group_951,OKGGMJON_02670,+
crcB_1,OKGGMJON_02672,-
crcB_2,OKGGMJON_02673,-
group_954,OKGGMJON_02678,-
group_955,OKGGMJON_02693,+
dauA_1,OKGGMJON_02695,+
mdtH_2,OKGGMJON_02707,-
group_958,OKGGMJON_02711,+
group_959,OKGGMJON_02715,+
rcdA_2,OKGGMJON_02720,+
yiiM,OKGGMJON_02722,-
group_962,OKGGMJON_02725,+
group_963,OKGGMJON_03510,+
group_964,OKGGMJON_03499,-
group_965,OKGGMJON_03495,-
group_966,OKGGMJON_03491,+
group_967,OKGGMJON_03487,-
group_968,OKGGMJON_03474,-
group_969,OKGGMJON_03473,-
tatA_1,OKGGMJON_03472,+
mgtA,OKGGMJON_03470,+
group_972,OKGGMJON_03467,+
group_973,OKGGMJON_03459,+
rraA,OKGGMJON_03442,-
group_975,OKGGMJON_03440,+
rhaR_2,OKGGMJON_05406,+
group_977,OKGGMJON_05400,+
srmB,OKGGMJON_03424,-
group_982,OKGGMJON_03423,+
group_983,OKGGMJON_03422,+
group_984,OKGGMJON_03421,+
group_985,OKGGMJON_03349,-
group_986,OKGGMJON_03348,+
group_987,OKGGMJON_03332,-
group_988,OKGGMJON_03328,+
pknD_4,OKGGMJON_03327,-
group_991,OKGGMJON_03311,-
group_992,OKGGMJON_03308,-
pcm_2,OKGGMJON_03307,-
group_995,OKGGMJON_03306,+
group_996,OKGGMJON_03301,-
